Date,Open,Highest,Lowest,Close,Range,Range%,Trade,Volume
01/12/2017,4003.5604,4027.1064,3984.3776,3998.1365,-7.9628,-0.1988,9738691300,1.36E+11
30/11/2017,4034.0091,4052.797,3988.0018,4006.0993,-47.6536,-1.1755,10798334500,1.46E+11
29/11/2017,4061.3545,4069.2418,4004.687,4053.7529,-2.0706,-0.0511,12455364200,1.66E+11
28/11/2017,4034.2057,4056.4753,4010.2955,4055.8235,5.876,0.1451,10205809500,1.36E+11
27/11/2017,4088.9318,4088.9318,4037.1457,4049.9475,-54.2559,-1.322,14345526800,1.83E+11
24/11/2017,4089.4723,4116.5942,4057.4894,4104.2034,1.8068,0.044,13085804000,1.83E+11
23/11/2017,4213.3781,4214.1895,4086.9018,4102.3966,-125.17,-2.9608,17814722800,2.38E+11
22/11/2017,4228.3721,4260.6395,4191.145,4227.5666,9.8651,0.2339,18647700300,2.54E+11
21/11/2017,4131.8482,4220.2636,4129.9783,4217.7015,73.8681,1.7826,18035082100,2.53E+11
20/11/2017,4093.734,4144.5144,4060.9636,4143.8334,22.9826,0.5577,13744725800,1.92E+11
17/11/2017,4094.0787,4122.3756,4081.3723,4120.8508,15.8386,0.3858,19178411900,2.53E+11
16/11/2017,4063.4943,4107.617,4062.2734,4105.0122,31.3426,0.7694,12138441400,1.73E+11
15/11/2017,4084.2131,4102.8071,4055.7167,4073.6696,-25.6814,-0.6265,12063569600,1.78E+11
14/11/2017,4129.2736,4133.5462,4086.8903,4099.351,-28.7223,-0.6958,14323693600,2.00E+11
13/11/2017,4115.5507,4137.6455,4115.5507,4128.0733,16.1621,0.3931,15144630900,2.06E+11
10/11/2017,4070.2763,4116.7142,4067.657,4111.9112,36.0114,0.8835,14181716500,1.99E+11
09/11/2017,4043.0663,4076.6102,4038.4004,4075.8998,27.8941,0.6891,12105633500,1.59E+11
08/11/2017,4051.4935,4089.1457,4040.5772,4048.0057,-6.2408,-0.1539,15082771900,2.01E+11
07/11/2017,4022.4018,4064.2178,4021.3639,4054.2465,33.3569,0.8296,15211666300,1.94E+11
06/11/2017,3989.1824,4021.6382,3975.4069,4020.8896,28.1917,0.7061,12208115900,1.59E+11
03/11/2017,3992.3496,3999.3373,3963.0263,3992.6979,-4.4364,-0.111,12940443900,1.58E+11
02/11/2017,3994.0946,3999.2262,3971.3761,3997.1343,0.5122,0.0128,12610057900,1.52E+11
01/11/2017,4007.9116,4032.4581,3991.3235,3996.6221,-10.0958,-0.252,13041738000,1.66E+11
